KEY	ORIGIN	DEV	VALUE	
1981-1    1981   1  5012
1982-1    1982   1   106
1983-1    1983   1  3410
1984-1    1984   1  5655
1985-1    1985   1  1092
1986-1    1986   1  1513
1987-1    1987   1   557
1988-1    1988   1  1351
1989-1    1989   1  3133
1990-1    1990   1  2063
1981-2    1981   2  8269
1982-2    1982   2  4285
1983-2    1983   2  8992
1984-2    1984   2 11555
1985-2    1985   2  9565
1986-2    1986   2  6445
1987-2    1987   2  4020
1988-2    1988   2  6947
1989-2    1989   2  5395
1990-2    1990   2    NA
1981-3    1981   3 10907
1982-3    1982   3  5396
1983-3    1983   3 13873
1984-3    1984   3 15766
1985-3    1985   3 15836
1986-3    1986   3 11702
1987-3    1987   3 10946
1988-3    1988   3 13112
1989-3    1989   3    NA
1990-3    1990   3    NA
1981-4    1981   4 11805
1982-4    1982   4 10666
1983-4    1983   4 16141
1984-4    1984   4 21266
1985-4    1985   4 22169
1986-4    1986   4 12935
1987-4    1987   4 12314
1988-4    1988   4    NA
1989-4    1989   4    NA
1990-4    1990   4    NA
1981-5    1981   5 13539
1982-5    1982   5 13782
1983-5    1983   5 18735
1984-5    1984   5 23425
1985-5    1985   5 25955
1986-5    1986   5 15852
1987-5    1987   5    NA
1988-5    1988   5    NA
1989-5    1989   5    NA
1990-5    1990   5    NA
1981-6    1981   6 16181
1982-6    1982   6 15599
1983-6    1983   6 22214
1984-6    1984   6 26083
1985-6    1985   6 26180
1986-6    1986   6    NA
1987-6    1987   6    NA
1988-6    1988   6    NA
1989-6    1989   6    NA
1990-6    1990   6    NA
1981-7    1981   7 18009
1982-7    1982   7 15496
1983-7    1983   7 22863
1984-7    1984   7 27067
1985-7    1985   7    NA
1986-7    1986   7    NA
1987-7    1987   7    NA
1988-7    1988   7    NA
1989-7    1989   7    NA
1990-7    1990   7    NA
1981-8    1981   8 18608
1982-8    1982   8 16169
1983-8    1983   8 23466
1984-8    1984   8    NA
1985-8    1985   8    NA
1986-8    1986   8    NA
1987-8    1987   8    NA
1988-8    1988   8    NA
1989-8    1989   8    NA
1990-8    1990   8    NA
1981-9    1981   9 18662
1982-9    1982   9 16704
1983-9    1983   9    NA
1984-9    1984   9    NA
1985-9    1985   9    NA
1986-9    1986   9    NA
1987-9    1987   9    NA
1988-9    1988   9    NA
1989-9    1989   9    NA
1990-9    1990   9    NA
1981-10   1981  10 18834
1982-10   1982  10    NA
1983-10   1983  10    NA
1984-10   1984  10    NA
1985-10   1985  10    NA
1986-10   1986  10    NA
1987-10   1987  10    NA
1988-10   1988  10    NA
1989-10   1989  10    NA
1990-10   1990  10    NA
