LOSS_KEY,GRNAME,ORIGIN,DEV_PERIOD,INCRD_LOSS,PAID_LOSS
WC,State Farm Mut Grp,1988,1,91892,22190
WC,State Farm Mut Grp,1988,2,120466,38644
WC,State Farm Mut Grp,1988,3,129785,24270
WC,State Farm Mut Grp,1988,4,134401,15047
WC,State Farm Mut Grp,1988,5,134051,8661
WC,State Farm Mut Grp,1988,6,134264,6155
WC,State Farm Mut Grp,1988,7,134169,3823
WC,State Farm Mut Grp,1988,8,133158,2768
WC,State Farm Mut Grp,1988,9,133800,1934
WC,State Farm Mut Grp,1988,10,133513,1557
WC,State Farm Mut Grp,1989,1,117540,26542
WC,State Farm Mut Grp,1989,2,160490,51256
WC,State Farm Mut Grp,1989,3,163802,28609
WC,State Farm Mut Grp,1989,4,162824,16015
WC,State Farm Mut Grp,1989,5,164650,10937
WC,State Farm Mut Grp,1989,6,163326,5240
WC,State Farm Mut Grp,1989,7,161246,4430
WC,State Farm Mut Grp,1989,8,161836,2683
WC,State Farm Mut Grp,1989,9,161673,1646
WC,State Farm Mut Grp,1990,1,155671,32977
WC,State Farm Mut Grp,1990,2,210607,67517
WC,State Farm Mut Grp,1990,3,208274,34392
WC,State Farm Mut Grp,1990,4,211660,22872
WC,State Farm Mut Grp,1990,5,209823,11233
WC,State Farm Mut Grp,1990,6,208629,9074
WC,State Farm Mut Grp,1990,7,208662,4722
WC,State Farm Mut Grp,1990,8,210204,4973
WC,State Farm Mut Grp,1991,1,189021,38604
WC,State Farm Mut Grp,1991,2,251182,75824
WC,State Farm Mut Grp,1991,3,253292,42675
WC,State Farm Mut Grp,1991,4,247771,24219
WC,State Farm Mut Grp,1991,5,244882,16089
WC,State Farm Mut Grp,1991,6,245666,11393
WC,State Farm Mut Grp,1991,7,244669,4592
WC,State Farm Mut Grp,1992,1,229435,42466
WC,State Farm Mut Grp,1992,2,289785,83354
WC,State Farm Mut Grp,1992,3,268235,38956
WC,State Farm Mut Grp,1992,4,255528,24269
WC,State Farm Mut Grp,1992,5,252878,15332
WC,State Farm Mut Grp,1992,6,253878,9527
WC,State Farm Mut Grp,1993,1,251804,46447
WC,State Farm Mut Grp,1993,2,259975,70317
WC,State Farm Mut Grp,1993,3,245594,38133
WC,State Farm Mut Grp,1993,4,251196,24522
WC,State Farm Mut Grp,1993,5,251129,14257
WC,State Farm Mut Grp,1994,1,212555,41368
WC,State Farm Mut Grp,1994,2,212160,58976
WC,State Farm Mut Grp,1994,3,206811,31677
WC,State Farm Mut Grp,1994,4,202911,19060
WC,State Farm Mut Grp,1995,1,178437,35719
WC,State Farm Mut Grp,1995,2,181175,47497
WC,State Farm Mut Grp,1995,3,174496,28052
WC,State Farm Mut Grp,1996,1,151415,28746
WC,State Farm Mut Grp,1996,2,143042,37287
WC,State Farm Mut Grp,1997,1,125429,25265
PROD_LIAB,State Farm Mut Grp,1988,1,2363,286
PROD_LIAB,State Farm Mut Grp,1988,2,2292,261
PROD_LIAB,State Farm Mut Grp,1988,3,2332,204
PROD_LIAB,State Farm Mut Grp,1988,4,1701,136
PROD_LIAB,State Farm Mut Grp,1988,5,1927,437
PROD_LIAB,State Farm Mut Grp,1988,6,1720,102
PROD_LIAB,State Farm Mut Grp,1988,7,1922,273
PROD_LIAB,State Farm Mut Grp,1988,8,1913,47
PROD_LIAB,State Farm Mut Grp,1988,9,1914,70
PROD_LIAB,State Farm Mut Grp,1988,10,1851,33
PROD_LIAB,State Farm Mut Grp,1989,1,2526,134
PROD_LIAB,State Farm Mut Grp,1989,2,1766,169
PROD_LIAB,State Farm Mut Grp,1989,3,1284,278
PROD_LIAB,State Farm Mut Grp,1989,4,1166,119
PROD_LIAB,State Farm Mut Grp,1989,5,953,44
PROD_LIAB,State Farm Mut Grp,1989,6,945,39
PROD_LIAB,State Farm Mut Grp,1989,7,914,14
PROD_LIAB,State Farm Mut Grp,1989,8,883,0
PROD_LIAB,State Farm Mut Grp,1989,9,816,2
PROD_LIAB,State Farm Mut Grp,1990,1,1648,27
PROD_LIAB,State Farm Mut Grp,1990,2,561,49
PROD_LIAB,State Farm Mut Grp,1990,3,513,10
PROD_LIAB,State Farm Mut Grp,1990,4,419,17
PROD_LIAB,State Farm Mut Grp,1990,5,440,59
PROD_LIAB,State Farm Mut Grp,1990,6,393,63
PROD_LIAB,State Farm Mut Grp,1990,7,403,15
PROD_LIAB,State Farm Mut Grp,1990,8,338,23
PROD_LIAB,State Farm Mut Grp,1991,1,932,19
PROD_LIAB,State Farm Mut Grp,1991,2,782,101
PROD_LIAB,State Farm Mut Grp,1991,3,556,13
PROD_LIAB,State Farm Mut Grp,1991,4,438,5
PROD_LIAB,State Farm Mut Grp,1991,5,340,34
PROD_LIAB,State Farm Mut Grp,1991,6,313,17
PROD_LIAB,State Farm Mut Grp,1991,7,258,0
PROD_LIAB,State Farm Mut Grp,1992,1,962,46
PROD_LIAB,State Farm Mut Grp,1992,2,786,13
PROD_LIAB,State Farm Mut Grp,1992,3,564,42
PROD_LIAB,State Farm Mut Grp,1992,4,334,6
PROD_LIAB,State Farm Mut Grp,1992,5,297,23
PROD_LIAB,State Farm Mut Grp,1992,6,240,0
PROD_LIAB,State Farm Mut Grp,1993,1,868,119
PROD_LIAB,State Farm Mut Grp,1993,2,698,5
PROD_LIAB,State Farm Mut Grp,1993,3,519,15
PROD_LIAB,State Farm Mut Grp,1993,4,545,64
PROD_LIAB,State Farm Mut Grp,1993,5,544,75
PROD_LIAB,State Farm Mut Grp,1994,1,768,17
PROD_LIAB,State Farm Mut Grp,1994,2,599,40
PROD_LIAB,State Farm Mut Grp,1994,3,479,1
PROD_LIAB,State Farm Mut Grp,1994,4,357,42
PROD_LIAB,State Farm Mut Grp,1995,1,656,50
PROD_LIAB,State Farm Mut Grp,1995,2,536,1
PROD_LIAB,State Farm Mut Grp,1995,3,332,0
PROD_LIAB,State Farm Mut Grp,1996,1,523,11
PROD_LIAB,State Farm Mut Grp,1996,2,321,0
PROD_LIAB,State Farm Mut Grp,1997,1,496,15
PP_AUTO,State Farm Mut Grp,1988,1,6906902,2439272
PP_AUTO,State Farm Mut Grp,1988,2,6943321,2283630
PP_AUTO,State Farm Mut Grp,1988,3,6919414,982744
PP_AUTO,State Farm Mut Grp,1988,4,6903460,532643
PP_AUTO,State Farm Mut Grp,1988,5,6877558,281202
PP_AUTO,State Farm Mut Grp,1988,6,6870358,157935
PP_AUTO,State Farm Mut Grp,1988,7,6836352,73005
PP_AUTO,State Farm Mut Grp,1988,8,6830186,37013
PP_AUTO,State Farm Mut Grp,1988,9,6829036,21365
PP_AUTO,State Farm Mut Grp,1988,10,6826501,6837
PP_AUTO,State Farm Mut Grp,1989,1,7945895,2828267
PP_AUTO,State Farm Mut Grp,1989,2,7892149,2539759
PP_AUTO,State Farm Mut Grp,1989,3,7857362,1126571
PP_AUTO,State Farm Mut Grp,1989,4,7822945,601780
PP_AUTO,State Farm Mut Grp,1989,5,7794124,321492
PP_AUTO,State Farm Mut Grp,1989,6,7768352,157945
PP_AUTO,State Farm Mut Grp,1989,7,7734044,79403
PP_AUTO,State Farm Mut Grp,1989,8,7731989,38023
PP_AUTO,State Farm Mut Grp,1989,9,7733559,18837
PP_AUTO,State Farm Mut Grp,1990,1,8966387,3186948
PP_AUTO,State Farm Mut Grp,1990,2,8737600,2726542
PP_AUTO,State Farm Mut Grp,1990,3,8621906,1227123
PP_AUTO,State Farm Mut Grp,1990,4,8549596,634002
PP_AUTO,State Farm Mut Grp,1990,5,8496837,321759
PP_AUTO,State Farm Mut Grp,1990,6,8446880,154712
PP_AUTO,State Farm Mut Grp,1990,7,8405156,74098
PP_AUTO,State Farm Mut Grp,1990,8,8405128,39771
PP_AUTO,State Farm Mut Grp,1991,1,9000161,3192619
PP_AUTO,State Farm Mut Grp,1991,2,8781727,2685381
PP_AUTO,State Farm Mut Grp,1991,3,8603817,1197254
PP_AUTO,State Farm Mut Grp,1991,4,8495201,623205
PP_AUTO,State Farm Mut Grp,1991,5,8405955,297945
PP_AUTO,State Farm Mut Grp,1991,6,8322901,143661
PP_AUTO,State Farm Mut Grp,1991,7,8291065,75745
PP_AUTO,State Farm Mut Grp,1992,1,9918853,3561950
PP_AUTO,State Farm Mut Grp,1992,2,9635080,2912341
PP_AUTO,State Farm Mut Grp,1992,3,9423831,1289678
PP_AUTO,State Farm Mut Grp,1992,4,9260641,640744
PP_AUTO,State Farm Mut Grp,1992,5,9116785,312213
PP_AUTO,State Farm Mut Grp,1992,6,9060858,159887
PP_AUTO,State Farm Mut Grp,1993,1,10680478,3895076
PP_AUTO,State Farm Mut Grp,1993,2,10368083,3129791
PP_AUTO,State Farm Mut Grp,1993,3,10063788,1318550
PP_AUTO,State Farm Mut Grp,1993,4,9850861,659703
PP_AUTO,State Farm Mut Grp,1993,5,9714779,333979
PP_AUTO,State Farm Mut Grp,1994,1,11453285,4323103
PP_AUTO,State Farm Mut Grp,1994,2,11036246,3267841
PP_AUTO,State Farm Mut Grp,1994,3,10653018,1333118
PP_AUTO,State Farm Mut Grp,1994,4,10462749,716036
PP_AUTO,State Farm Mut Grp,1995,1,11693004,4491070
PP_AUTO,State Farm Mut Grp,1995,2,11090985,3173120
PP_AUTO,State Farm Mut Grp,1995,3,10612837,1341923
PP_AUTO,State Farm Mut Grp,1996,1,11229928,4444088
PP_AUTO,State Farm Mut Grp,1996,2,10479410,3042025
PP_AUTO,State Farm Mut Grp,1997,1,10648978,4344144
OTHR_LIAB,State Farm Mut Grp,1988,1,68955,3962
OTHR_LIAB,State Farm Mut Grp,1988,2,91974,22325
OTHR_LIAB,State Farm Mut Grp,1988,3,113245,26713
OTHR_LIAB,State Farm Mut Grp,1988,4,145318,39637
