ORIGIN,DEV,VALUE
1,1,357848
1,2,1124788
1,3,1735330
1,4,2218270
1,5,2745596
1,6,3319994
1,7,3466336
1,8,3606286
1,9,3833515
1,10,3901463
2,1,352118
2,2,1236139
2,3,2170033
2,4,3353322
2,5,3799067
2,6,4120063
2,7,4647867
2,8,4914039
2,9,5339085
3,1,290507
3,2,1292306
3,3,2218525
3,4,3235179
3,5,3985995
3,6,4132918
3,7,4628910
3,8,4909315
4,1,310608
4,2,1418858
4,3,2195047
4,4,3757447
4,5,4029929
4,6,4381982
4,7,4588268
5,1,443160
5,2,1136350
5,3,2128333
5,4,2897821
5,5,3402672
5,6,3873311
6,1,396132
6,2,1333217
6,3,2180715
6,4,2985752
6,5,3691712
7,1,440823
7,2,1288463
7,3,2419861
7,4,3483130
8,1,359480
8,2,1421128
8,3,2864498
9,1,376686
9,2,1363294
10,1,344014
